id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score,method
449,intermediate,16,16,40,won,78,1,216,216,78,subset
450,intermediate,16,16,40,lost,13,1,79,216,151,subset
451,intermediate,16,16,40,won,83,0,216,216,83,subset
452,intermediate,16,16,40,lost,77,1,214,216,80,subset
453,intermediate,16,16,40,won,91,0,216,216,91,subset
454,intermediate,16,16,40,won,67,0,216,216,67,subset
455,intermediate,16,16,40,lost,77,1,216,216,78,subset
456,intermediate,16,16,40,won,92,0,216,216,92,subset
457,intermediate,16,16,40,won,82,0,216,216,82,subset
458,intermediate,16,16,40,won,64,0,216,216,64,subset
459,intermediate,16,16,40,lost,60,1,204,216,73,subset
460,intermediate,16,16,40,won,84,3,216,216,84,subset
461,intermediate,16,16,40,won,56,0,216,216,56,subset
462,intermediate,16,16,40,won,89,0,216,216,89,subset
463,intermediate,16,16,40,won,103,0,216,216,103,subset
464,intermediate,16,16,40,lost,72,2,211,216,78,subset
465,intermediate,16,16,40,lost,87,1,214,216,90,subset
466,intermediate,16,16,40,won,56,1,216,216,56,subset
467,intermediate,16,16,40,lost,85,1,216,216,86,subset
468,intermediate,16,16,40,won,84,0,216,216,84,subset
469,intermediate,16,16,40,lost,78,1,216,216,79,subset
470,intermediate,16,16,40,won,82,0,216,216,82,subset
471,intermediate,16,16,40,won,84,0,216,216,84,subset
472,intermediate,16,16,40,lost,72,1,215,216,74,subset
473,intermediate,16,16,40,won,115,3,216,216,115,subset
474,intermediate,16,16,40,won,83,0,216,216,83,subset
475,intermediate,16,16,40,won,89,0,216,216,89,subset
476,intermediate,16,16,40,lost,43,1,196,216,64,subset
477,intermediate,16,16,40,won,80,3,216,216,80,subset
478,intermediate,16,16,40,won,82,0,216,216,82,subset
479,intermediate,16,16,40,won,85,1,216,216,85,subset
480,intermediate,16,16,40,won,88,0,216,216,88,subset
481,intermediate,16,16,40,won,72,1,216,216,72,subset
482,intermediate,16,16,40,lost,3,2,14,216,206,subset
483,intermediate,16,16,40,won,103,0,216,216,103,subset
484,intermediate,16,16,40,won,81,4,216,216,81,subset
485,intermediate,16,16,40,won,81,0,216,216,81,subset
486,intermediate,16,16,40,lost,72,2,212,216,77,subset
487,intermediate,16,16,40,lost,56,2,214,216,59,subset
488,intermediate,16,16,40,won,83,0,216,216,83,subset
489,intermediate,16,16,40,lost,2,1,16,216,203,subset
490,intermediate,16,16,40,lost,56,3,201,216,72,subset
